class,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0.0,2.4227798,-0.43157354,0.8976218,0.3938779,1.0864359,-0.17862272,0.93281364,-0.33972904,1.3598536,0.230664,0.5343804,1.2977537,-0.3751406,0.68902177,0.624824,0.21496409,2.2287517,-0.30066666,0.7118511,-0.64883494,-0.8185291,-1.596128,-0.8618322,0.9816099,-0.59149885,-0.14125638,-0.42814803,-1.4629507,0.37059042,1.1053232,0.21202418,-1.3550397,-0.99000126,-0.27953103,-0.07057639,1.0410963,0.601537,-1.3491783,2.3533912,-0.31776765,-0.0697271,-0.40125465,1.6677632,-0.24136958,-0.70539725,1.7679278,-0.7308969,0.7011425,0.26517323,1.2469407
0.0,1.3107159,0.19068593,0.86182165,-0.21732694,-1.5239414,-1.7095313,-0.7426095,-0.12458738,-0.86204195,0.22547136,0.14495948,0.92571944,0.42625153,0.38410443,-0.7845123,1.2480725,-0.103184566,-1.0817078,-0.44587868,0.30753097,0.018663498,-0.24471962,-0.3110588,0.56845784,1.4939493,0.04648853,0.19334555,0.67506087,1.1029041,-0.058082476,2.184738,0.053995606,-1.3662151,1.2372302,-0.35709998,-1.8535978,-0.22424145,-0.46284288,-0.79410905,-1.0707327,-0.8757064,-1.6177975,-0.26651347,-1.0132244,-2.2464752,-0.7798997,-0.10323648,0.78109837,0.6092946,-0.13763423
0.0,0.4397179,0.5313175,-0.87531114,0.17940253,1.3498237,1.2994916,1.2652417,1.7430422,-0.8410469,-0.9786284,-0.024748798,0.45036066,0.021090765,2.0866785,-0.41129833,0.10618021,0.4284189,-0.45934787,1.342048,-0.30405685,0.16711593,-0.7824954,-0.54252553,1.0442001,0.41412303,-0.8540042,0.7365369,-0.06637874,-0.2222298,1.0984539,1.4519608,-1.5740367,-0.97495794,0.87754357,1.0289454,-1.4368289,1.1141839,0.6319943,-0.2761518,1.4764156,0.057739973,-1.2039247,-0.16907623,-0.84135455,0.024398882,0.5723302,0.32497954,0.7795758,0.1498975,2.0230522
0.0,-0.24001676,-0.5712646,-0.31528878,-0.21755612,0.42188638,1.1249908,0.39404693,-0.24308237,-1.0625694,-1.5558254,1.2950617,-0.005304638,-0.31003818,0.065674454,1.1758016,-0.90864766,-0.3338693,1.0481677,-1.1695172,-0.004113689,-2.0861607,0.634849,-0.4636141,-0.8444712,0.030145139,-0.509062,-0.37067378,-1.0995413,0.18075448,0.8273877,0.95561,1.7642606,-1.2504287,0.46389756,0.20541188,0.22213946,1.0288693,-1.0933977,0.47537246,-1.2006551,-0.029602636,-1.4448297,-0.26676002,-1.1133251,1.0586699,0.8701858,0.55732334,-0.7976474,0.5590331,0.7897413
0.0,1.0758708,-1.1858777,0.40008658,-1.2109743,-0.23303832,0.026209628,-0.95945466,-1.3137194,3.2754114,-0.2554564,-0.5978878,0.22437774,-0.9908913,-0.5994533,-1.1031551,0.049959283,-1.010189,0.8730429,-0.7927007,-1.5267845,2.3662393,-1.4052147,-0.634954,-0.7703202,0.44110173,-1.2132609,-0.8260598,0.705255,1.7436488,-0.68557477,0.6637317,-0.65856093,-0.1231064,-0.7354003,0.040446725,0.021888556,-0.40930027,0.07228688,0.6572888,-0.94932,-0.1047942,-1.909517,1.9866954,0.39376092,-1.1157907,1.0402129,0.11142093,-1.8222649,0.15379661,-1.2863402
0.0,-0.04234414,1.1815187,-0.34538573,1.3158512,1.0847812,-0.37149402,0.6290803,-0.43548772,-0.7878073,0.83115023,0.09653996,1.5355393,-0.10281021,0.95181274,0.72071564,-0.11100656,1.0901159,-1.6651927,0.6454973,-1.0722432,-0.5400354,-0.02299366,-0.9198033,1.4890094,-0.4333529,0.23650493,-2.4334874,-0.25426102,-0.7695247,-0.5469295,1.2596993,0.55238765,-1.0587386,0.28433147,-0.42516515,-1.1583266,-1.8601865,-0.16475521,-1.0813932,1.6923119,0.3134749,-0.3065256,0.36168653,-0.24554342,1.1703918,-1.1659709,-2.1023562,0.30572164,1.3607402,-0.21384914
0.0,0.7020945,1.6089053,0.2591297,-1.6294457,-0.5064147,-0.26486844,-1.1722829,-0.6523409,-1.6103698,0.12055307,0.43895677,0.24468713,-0.7189323,-0.8628634,1.4979455,-0.4497294,-0.84623075,0.84067667,-0.46758372,-0.336185,1.6227707,-1.5758733,2.192489,0.97008127,0.94566864,-1.3038967,-1.7226627,1.3226691,-0.32893276,-0.16805866,-0.93695766,0.48319232,-1.6523043,0.3775333,-0.301431,-1.0099324,-0.48890322,1.7233992,0.6687701,-0.9443806,-1.2633163,-0.75095963,-0.1536116,0.9924088,0.01654093,1.0667598,0.62718934,-1.4090465,0.92647076,-1.4758825
0.0,0.028664088,-0.018444179,1.0767851,-1.886802,0.37943617,0.13823438,-0.17164606,-0.62487984,0.6061282,-0.48040414,0.10491043,-0.8637158,-0.7145268,0.13445452,0.22923653,0.65082294,1.8016089,-0.42439678,0.26239994,-1.2356678,-3.2333746,0.80876863,-0.76954716,1.7381638,-1.6516172,-0.24169868,2.3613362,-0.29554728,-0.55143774,0.8436974,0.0028628795,1.264317,1.1524409,-1.7623013,-0.55979836,-0.24181923,0.15416609,0.22620898,-1.4899691,-1.9384793,0.96826994,-0.37717095,1.0708883,-1.0423731,0.4442334,-0.06304489,-0.021720463,0.17260037,-1.351631,0.7441234
0.0,1.528022,0.1996517,1.2604879,1.5608186,0.50006783,-2.3688915,0.34714228,0.9493061,0.86793596,-0.9700287,-1.3495824,0.20087971,0.40127555,-0.8965697,0.5810302,0.3556755,0.57629544,0.10117454,-0.386233,-1.4938623,-0.9799544,-0.44332367,-0.7791041,-1.8512667,-0.5444535,-1.2899632,-2.109312,0.108097605,-1.1137741,-0.83569014,-0.75282776,0.51064265,0.20485634,-1.484848,1.6608707,-0.54036736,-0.5175547,0.82494956,0.6749311,0.17680234,-0.4851452,0.28349388,-0.7564849,-0.21152513,0.28274503,0.17632079,0.24324319,-0.2115922,0.85876733,-0.60256183
0.0,-0.4095873,-0.0048974226,2.3710895,1.4697227,-0.4457483,-0.7641336,-0.2874856,-1.1455086,-0.76139444,0.82316655,-0.3664507,-0.4875997,0.564541,-1.9039562,-0.115325466,-0.9240478,1.8968933,2.1019094,1.5189967,0.27231967,1.8073616,0.4699879,0.37966505,1.3877192,0.6686904,1.0560714,3.1409924,-0.40473637,-0.23259756,1.3028078,-1.0886462,0.63526624,0.52402776,0.95249844,0.61091113,0.3274036,1.5636077,-1.6999059,0.020132126,-0.6769705,0.53853995,-0.17194852,-0.20960268,0.097081035,-0.32317457,0.24864553,-0.5226234,1.0644668,-1.5781498,1.5747284
